emp_no,first_name,last_name,dept_name,title
10676,Valeri,Danley,Development,Engineer
10693,Berhard,Daescu,Customer Service,Senior Staff
10693,Berhard,Daescu,Customer Service,Staff
10694,Rildo,Straney,Marketing,Senior Staff
10694,Rildo,Straney,Marketing,Staff
10702,Bader,Szemeredi,Development,Senior Engineer
10718,Adib,Rullman,Development,Engineer
10718,Adib,Rullman,Development,Senior Engineer
10726,Zita,Minakawa,Development,Engineer
10726,Zita,Minakawa,Development,Senior Engineer
10731,Fumitaka,Peak,Finance,Senior Staff
10731,Fumitaka,Peak,Finance,Staff
10734,Sachar,Erdi,Production,Engineer
10745,Poorav,Ranze,Production,Engineer
10745,Poorav,Ranze,Production,Senior Engineer
10749,King,Brendel,Production,Engineer
10749,King,Brendel,Production,Senior Engineer
10751,Jordanka,Ushiama,Development,Engineer
10767,Monique,Doering,Sales,Staff
10768,Ishfaq,Candan,Production,Engineer
10768,Ishfaq,Candan,Production,Senior Engineer
10777,Mizuhito,Kemmerer,Production,Engineer
10777,Mizuhito,Kemmerer,Production,Senior Engineer
10778,Selwyn,Merey,Marketing,Senior Staff
10791,Tadahiko,Sgarro,Development,Engineer
10791,Tadahiko,Sgarro,Development,Senior Engineer
10795,Supot,Naudin,Sales,Senior Staff
10795,Supot,Naudin,Sales,Staff
10803,Katsuyuki,Velasco,Quality Management,Engineer
10803,Katsuyuki,Velasco,Quality Management,Senior Engineer
10808,Chenxi,Leijenhorst,Development,Senior Engineer
10835,Tomoyuki,Kermarrec,Production,Engineer
10836,Jianhua,Leivant,Customer Service,Senior Staff
10836,Jianhua,Leivant,Sales,Senior Staff
10844,Dipayan,Koprowski,Development,Engineer
10847,Theirry,Danley,Research,Senior Staff
10847,Theirry,Danley,Research,Staff
10848,Fen,Bratsberg,Production,Engineer
10848,Fen,Bratsberg,Production,Senior Engineer
10867,Billur,Gyorkos,Production,Engineer
10878,Lakshmi,Deville,Sales,Staff
10879,Muzhong,Chleq,Development,Senior Engineer
10883,Shimshon,Champarnaud,Production,Engineer
10895,Vishwani,Petersohn,Customer Service,Staff
10895,Vishwani,Petersohn,Sales,Staff
10909,Georgi,Atchley,Development,Engineer
10909,Georgi,Atchley,Development,Senior Engineer
10912,Oscal,Fasbender,Finance,Senior Staff
10912,Oscal,Fasbender,Finance,Staff
10918,Susumu,Reghbati,Finance,Staff
10921,Mara,Bahi,Production,Engineer
10921,Mara,Bahi,Production,Senior Engineer
10924,Hironoby,Atchley,Sales,Senior Staff
10924,Hironoby,Atchley,Sales,Staff
10927,Gal,Scallan,Marketing,Senior Staff
10927,Gal,Scallan,Marketing,Staff
10936,Mountaz,Schicker,Human Resources,Senior Staff
10936,Mountaz,Schicker,Human Resources,Staff
10943,Berna,Skafidas,Development,Engineer
10943,Berna,Skafidas,Development,Senior Engineer
10965,Eckart,Braunschweig,Sales,Senior Staff
10969,Premal,Noriega,Development,Senior Engineer
10974,Muneo,Papsdorf,Development,Senior Engineer
10986,Masako,Schiper,Development,Technique Leader
10988,Chinya,Deyuan,Development,Senior Engineer
10989,Sumali,Candan,Finance,Senior Staff
10989,Sumali,Candan,Finance,Staff
10990,Shin,Foote,Development,Technique Leader
11009,Alper,Axelband,Sales,Senior Staff
11009,Alper,Axelband,Sales,Staff
11012,Taegyun,Speckmann,Customer Service,Staff
11012,Taegyun,Speckmann,Marketing,Staff
11019,Leon,Huttel,Development,Engineer
11019,Leon,Huttel,Development,Senior Engineer
11021,Srinidhi,Henders,Research,Staff
11027,Remzi,Cappello,Production,Assistant Engineer
11027,Remzi,Cappello,Production,Engineer
11027,Remzi,Cappello,Production,Senior Engineer
11028,Miyeon,Krider,Production,Engineer
11028,Miyeon,Krider,Production,Senior Engineer
11031,Ottavia,Walstra,Marketing,Senior Staff
11031,Ottavia,Walstra,Marketing,Staff
11037,Lansing,Maliniak,Production,Engineer
11037,Lansing,Maliniak,Production,Senior Engineer
11038,Jinya,Beidas,Research,Senior Staff
11038,Jinya,Beidas,Research,Staff
11042,Gou,Breugel,Development,Engineer
11042,Gou,Breugel,Development,Senior Engineer
11048,Jaques,Demke,Sales,Senior Staff
11050,Elvis,Katiyar,Marketing,Senior Staff
11050,Elvis,Katiyar,Marketing,Staff
11051,Przemyslawa,Erol,Production,Engineer
11051,Przemyslawa,Erol,Production,Senior Engineer
11070,Adib,Raney,Quality Management,Engineer
11070,Adib,Raney,Quality Management,Senior Engineer
11081,Barry,Boyle,Finance,Senior Staff
11081,Barry,Boyle,Finance,Staff
11085,Hailing,Thummel,Production,Senior Engineer
11100,Berna,Cochrane,Research,Senior Staff
11100,Berna,Cochrane,Research,Staff
11106,Aris,Iwayama,Development,Assistant Engineer
11106,Aris,Iwayama,Development,Engineer
11106,Aris,Iwayama,Development,Senior Engineer
11110,Valeska,Birjandi,Customer Service,Staff
11110,Valeska,Birjandi,Production,Staff
11112,Boaz,Mukaidono,Customer Service,Staff
11113,Shahab,Peng,Marketing,Senior Staff
11113,Shahab,Peng,Marketing,Staff
11121,Vugranam,Kakkad,Development,Engineer
11121,Vugranam,Kakkad,Development,Senior Engineer
11133,Nalini,Azulay,Quality Management,Technique Leader
11134,Sachar,Rajcani,Quality Management,Engineer
11134,Sachar,Rajcani,Quality Management,Senior Engineer
11137,Hugh,Luca,Development,Engineer
11139,Bogdan,Homond,Customer Service,Senior Staff
11139,Bogdan,Homond,Customer Service,Staff
11146,Ishfaq,Masand,Sales,Senior Staff
11146,Ishfaq,Masand,Sales,Staff
11148,Zhanqiu,Botman,Human Resources,Senior Staff
11148,Zhanqiu,Botman,Finance,Senior Staff
11148,Zhanqiu,Botman,Human Resources,Staff
11148,Zhanqiu,Botman,Finance,Staff
11162,Kauko,Narlikar,Development,Engineer
11162,Kauko,Narlikar,Development,Senior Engineer
11180,Mitsuyuki,Bojadziev,Development,Engineer
11180,Mitsuyuki,Bojadziev,Development,Senior Engineer
11197,Tadahiro,Fordan,Sales,Senior Staff
11203,Sakthirel,Yetto,Finance,Senior Staff
11203,Sakthirel,Yetto,Finance,Staff
11204,Diederik,Covnot,Production,Technique Leader
11207,Saeed,Gips,Development,Engineer
11208,Saniya,Valtorta,Production,Technique Leader
11211,Yurij,Rissland,Production,Senior Engineer
11217,Kellie,Mawatari,Production,Senior Engineer
11232,Hidefumi,Crelier,Customer Service,Senior Staff
11232,Hidefumi,Crelier,Customer Service,Staff
11240,Kiam,Condotta,Development,Assistant Engineer
11240,Kiam,Condotta,Development,Engineer
11249,Randi,Cyre,Development,Assistant Engineer
11249,Randi,Cyre,Development,Engineer
11251,Bezalel,Chinal,Marketing,Senior Staff
11251,Bezalel,Chinal,Marketing,Staff
11268,Aimee,Petersohn,Production,Engineer
11268,Aimee,Petersohn,Production,Senior Engineer
11275,Hitomi,Eppinger,Development,Engineer
11275,Hitomi,Eppinger,Development,Senior Engineer
11290,Visit,Dredge,Development,Engineer
11291,Gino,Glowinski,Development,Senior Engineer
11295,Abdelkader,Lanzelotte,Finance,Senior Staff
11295,Abdelkader,Lanzelotte,Finance,Staff
11319,Pranas,Marrakchi,Development,Assistant Engineer
11320,Atilio,McAlpine,Marketing,Senior Staff
11320,Atilio,McAlpine,Marketing,Staff
11322,Nathalie,Pocchiola,Quality Management,Assistant Engineer
11322,Nathalie,Pocchiola,Quality Management,Engineer
11322,Nathalie,Pocchiola,Quality Management,Senior Engineer
11324,Kauko,Billingsley,Production,Senior Engineer
11338,Kwangsub,Hanratty,Sales,Senior Staff
11339,Flemming,Massonet,Production,Senior Engineer
11347,Anneli,Jonsson,Development,Engineer
11347,Anneli,Jonsson,Development,Senior Engineer
11365,Toshimi,Shinomoto,Production,Engineer
11376,Valery,Suomi,Research,Senior Staff
11376,Valery,Suomi,Research,Staff
11380,Kenroku,Pelc,Development,Assistant Engineer
11380,Kenroku,Pelc,Development,Engineer
11380,Kenroku,Pelc,Development,Senior Engineer
11385,Shiv,Ullian,Production,Engineer
11386,Alselm,Assaf,Quality Management,Engineer
11386,Alselm,Assaf,Quality Management,Senior Engineer
11393,Junsik,Junot,Production,Engineer
11393,Junsik,Junot,Production,Senior Engineer
11398,Oscar,Peir,Finance,Senior Staff
11398,Oscar,Peir,Finance,Staff
11404,Bedrich,Borovoy,Development,Technique Leader
11415,Sanjiv,Anido,Production,Engineer
11421,Josyula,Msuda,Production,Engineer
11421,Josyula,Msuda,Production,Senior Engineer
11431,Youngkon,Picht,Human Resources,Senior Staff
11431,Youngkon,Picht,Human Resources,Staff
11441,Marlo,Aingworth,Sales,Senior Staff
11449,Kotesh,Asser,Production,Engineer
11449,Kotesh,Asser,Production,Senior Engineer
11459,Duke,Suomi,Human Resources,Senior Staff
11459,Duke,Suomi,Human Resources,Staff
11461,Kish,Cronau,Production,Engineer
11461,Kish,Cronau,Production,Senior Engineer
11469,Guttorm,Giaccio,Production,Engineer
11469,Guttorm,Giaccio,Production,Senior Engineer
11477,Fox,Narahari,Production,Engineer
11501,Karsten,Ranum,Marketing,Senior Staff
11501,Karsten,Ranum,Marketing,Staff
11506,Rance,Picel,Sales,Staff
11509,Aleksander,Feldhoffer,Development,Engineer
11509,Aleksander,Feldhoffer,Development,Senior Engineer
11513,Otmar,Mahnke,Finance,Senior Staff
11513,Otmar,Mahnke,Finance,Staff
11515,Ulf,Basawa,Sales,Staff
11518,Jinxi,Oxman,Human Resources,Senior Staff
11518,Jinxi,Oxman,Human Resources,Staff
11524,Xiadong,Standera,Development,Senior Engineer
11527,Alagu,Boyle,Marketing,Staff
11528,Zito,Dolinsky,Production,Technique Leader
11537,DAIDA,Pehl,Sales,Senior Staff
11554,Subhash,Taubenfeld,Human Resources,Staff
11554,Subhash,Taubenfeld,Marketing,Staff
11555,Kotesh,Perfilyeva,Human Resources,Senior Staff
11555,Kotesh,Perfilyeva,Human Resources,Staff
11562,Rimli,Alencar,Production,Engineer
11567,Teiji,Mitzlaff,Sales,Senior Staff
11567,Teiji,Mitzlaff,Sales,Staff
11568,Martins,Fujisaki,Development,Engineer
11568,Martins,Fujisaki,Development,Senior Engineer
11578,Edwin,Rosti,Production,Engineer
11578,Edwin,Rosti,Production,Senior Engineer
11588,Kaijung,Panangaden,Human Resources,Senior Staff
11603,Herb,Swen,Finance,Senior Staff
11603,Herb,Swen,Finance,Staff
11607,Tomokazu,Foong,Production,Engineer
11615,Shem,Isaak,Sales,Senior Staff
11615,Shem,Isaak,Sales,Staff
11624,Adil,Gammage,Production,Engineer
11624,Adil,Gammage,Production,Senior Engineer
11628,Fan,Malinowski,Research,Engineer
11628,Fan,Malinowski,Development,Engineer
11628,Fan,Malinowski,Research,Senior Engineer
11628,Fan,Malinowski,Development,Senior Engineer
11640,Valeri,Coorg,Development,Senior Engineer
11647,Magy,Nitsche,Development,Engineer
11647,Magy,Nitsche,Development,Senior Engineer
11660,Gill,Stenning,Sales,Senior Staff
11660,Gill,Stenning,Sales,Staff
11673,Henk,Felder,Production,Technique Leader
11676,Valeri,Ferriere,Production,Engineer
11681,Fumitake,Benzmuller,Production,Engineer
11681,Fumitake,Benzmuller,Production,Senior Engineer
11684,Oksana,Gide,Marketing,Senior Staff
11684,Oksana,Gide,Marketing,Staff
11696,Dante,Rothe,Sales,Senior Staff
11696,Dante,Rothe,Sales,Staff
11705,Arve,Hofmeyr,Human Resources,Senior Staff
11705,Arve,Hofmeyr,Finance,Senior Staff
11705,Arve,Hofmeyr,Human Resources,Staff
11705,Arve,Hofmeyr,Finance,Staff
11732,Sanjoy,Ranft,Customer Service,Senior Engineer
11732,Sanjoy,Ranft,Production,Senior Engineer
11735,Amalendu,Picci,Customer Service,Senior Staff
11735,Amalendu,Picci,Customer Service,Staff
11738,Tadahiro,Lichtman,Production,Engineer
11738,Tadahiro,Lichtman,Production,Senior Engineer
11746,Koichi,Marrakchi,Sales,Senior Staff
11746,Koichi,Marrakchi,Sales,Staff
11747,Aksel,Kossowski,Sales,Senior Staff
11747,Aksel,Kossowski,Sales,Staff
11751,Jiafu,Emiris,Research,Senior Staff
11751,Jiafu,Emiris,Research,Staff
11764,Sanjay,Anick,Production,Engineer
11764,Sanjay,Anick,Production,Senior Engineer
11769,Chandrasekaran,Lampe,Research,Senior Staff
11769,Chandrasekaran,Lampe,Development,Senior Staff
11769,Chandrasekaran,Lampe,Research,Staff
11769,Chandrasekaran,Lampe,Development,Staff
11772,Gaurav,Penz,Development,Engineer
11797,Chenxi,Thambidurai,Sales,Senior Staff
11797,Chenxi,Thambidurai,Marketing,Senior Staff
11797,Chenxi,Thambidurai,Sales,Staff
11797,Chenxi,Thambidurai,Marketing,Staff
11805,Rosine,Grandbois,Development,Assistant Engineer
11810,Amabile,Bhattacharjee,Development,Senior Engineer
11813,Gita,Muhlberg,Sales,Staff
11817,Niranjan,Markovitch,Sales,Senior Staff
11817,Niranjan,Markovitch,Sales,Staff
11832,Arto,Zlotek,Development,Engineer
11838,Taiji,Nitta,Sales,Staff
11844,Shawna,Demeyer,Development,Engineer
11844,Shawna,Demeyer,Development,Senior Engineer
11853,Zeljko,Kusakabe,Marketing,Senior Staff
11853,Zeljko,Kusakabe,Marketing,Staff
11857,Divier,Farrag,Sales,Senior Staff
11864,Pradeep,Kriebel,Customer Service,Staff
11871,Nalini,Sommen,Development,Engineer
11871,Nalini,Sommen,Development,Senior Engineer
11872,Cheong,Riexinger,Marketing,Senior Staff
11872,Cheong,Riexinger,Marketing,Staff
11883,Nectarios,Bhattacharjee,Quality Management,Engineer
11894,Mitchel,Validov,Development,Senior Engineer
11897,Cordelia,Setlzner,Sales,Senior Staff
11897,Cordelia,Setlzner,Sales,Staff
11906,Hideo,Boguraev,Development,Engineer
11915,Miomir,Mawatari,Production,Engineer
11915,Miomir,Mawatari,Production,Senior Engineer
11931,Gunilla,Chiodo,Research,Senior Staff
11931,Gunilla,Chiodo,Research,Staff
11933,Basil,Erman,Development,Engineer
11933,Basil,Erman,Development,Senior Engineer
11949,Martijn,Harbusch,Production,Technique Leader
11983,Jaana,Hedayat,Development,Engineer
11983,Jaana,Hedayat,Development,Senior Engineer
11987,Vidya,Schaar,Customer Service,Senior Staff
11987,Vidya,Schaar,Production,Senior Staff
11987,Vidya,Schaar,Customer Service,Staff
11987,Vidya,Schaar,Production,Staff
11988,Chinya,Chinin,Development,Engineer
11988,Chinya,Chinin,Development,Senior Engineer
11993,Marit,Dalphin,Human Resources,Senior Staff
12011,Zhilian,Coorg,Sales,Senior Staff
12011,Zhilian,Coorg,Sales,Staff
12025,Jaewoo,Heiserman,Marketing,Staff
12033,Visit,Serot,Development,Engineer
12036,Mads,Ratzlaff,Sales,Senior Staff
12036,Mads,Ratzlaff,Marketing,Senior Staff
12036,Mads,Ratzlaff,Sales,Staff
12036,Mads,Ratzlaff,Marketing,Staff
12037,Arunas,Katzenelson,Customer Service,Senior Staff
12037,Arunas,Katzenelson,Customer Service,Staff
12050,Yuchang,Tchuente,Production,Assistant Engineer
12050,Yuchang,Tchuente,Production,Engineer
12052,Masako,Khasidashvili,Development,Technique Leader
12062,Margareta,Worfolk,Human Resources,Senior Staff
12069,Ayonca,Burnard,Development,Assistant Engineer
12069,Ayonca,Burnard,Development,Engineer
12069,Ayonca,Burnard,Development,Senior Engineer
12070,Ger,Shokrollahi,Development,Technique Leader
12076,Karlis,Siprelle,Sales,Senior Staff
12082,Xinan,Yamaashi,Sales,Senior Staff
12082,Xinan,Yamaashi,Sales,Staff
12087,Weijing,Jumpertz,Development,Engineer
12089,Bilhanan,Socorro,Human Resources,Senior Staff
12089,Bilhanan,Socorro,Human Resources,Staff
12099,Nobuyoshi,Kuzuoka,Sales,Senior Staff
12099,Nobuyoshi,Kuzuoka,Sales,Staff
12103,Becky,Erie,Customer Service,Staff
12112,Satyanarayana,Avouris,Finance,Senior Staff
12112,Satyanarayana,Avouris,Finance,Staff
12122,Satoru,Krone,Production,Engineer
12122,Satoru,Krone,Production,Senior Engineer
12123,Xiahua,Syrzycki,Research,Senior Staff
12123,Xiahua,Syrzycki,Research,Staff
12125,Shounak,Erman,Development,Engineer
12125,Shounak,Erman,Production,Engineer
12128,Yannik,Barreiro,Sales,Staff
12149,Suebskul,Grandbois,Sales,Senior Staff
12159,Shem,Perly,Development,Senior Engineer
12165,Xiaobin,Maquelin,Development,Senior Engineer
12173,Adel,Nanard,Production,Senior Engineer
12183,Harngdar,Iisaku,Quality Management,Engineer
12192,Feiyu,Klyachko,Quality Management,Engineer
12192,Feiyu,Klyachko,Quality Management,Senior Engineer
12205,Sushant,Rossi,Development,Senior Engineer
12206,Barton,Janetzko,Development,Assistant Engineer
12206,Barton,Janetzko,Development,Engineer
12206,Barton,Janetzko,Development,Senior Engineer
12218,Yaghout,Strooper,Quality Management,Engineer
12218,Yaghout,Strooper,Quality Management,Senior Engineer
12221,Vincent,Melter,Development,Engineer
12221,Vincent,Melter,Development,Senior Engineer
12222,Abdelwaheb,Holburn,Finance,Senior Staff
12222,Abdelwaheb,Holburn,Finance,Staff
12223,Niteen,Koyama,Production,Engineer
12223,Niteen,Koyama,Production,Senior Engineer
12247,Subbu,Penttonen,Development,Technique Leader
12249,Eldridge,Sadowski,Development,Engineer
12249,Eldridge,Sadowski,Development,Senior Engineer
12254,Chaitali,Stafford,Production,Engineer
12256,Guadalupe,Reghbati,Human Resources,Senior Staff
12256,Guadalupe,Reghbati,Human Resources,Staff
12264,Mart,Pagter,Development,Engineer
12270,Shakhar,Kornyak,Research,Senior Staff
12270,Shakhar,Kornyak,Research,Staff
12272,Behnaam,Grandbois,Human Resources,Senior Staff
12272,Behnaam,Grandbois,Human Resources,Staff
12274,Garnik,Papadias,Development,Engineer
12276,Yongmin,Lenart,Development,Engineer
12276,Yongmin,Lenart,Development,Senior Engineer
12303,Godehard,Braccini,Research,Senior Staff
12308,Mototsugu,Cronau,Human Resources,Senior Staff
12308,Mototsugu,Cronau,Finance,Senior Staff
12308,Mototsugu,Cronau,Human Resources,Staff
12308,Mototsugu,Cronau,Finance,Staff
12311,Susanne,Lubachevsky,Development,Senior Engineer
12312,Chenye,Velasco,Production,Assistant Engineer
12312,Chenye,Velasco,Production,Engineer
12327,DAIDA,Bruckman,Development,Engineer
12327,DAIDA,Bruckman,Development,Senior Engineer
12335,Arnould,Genin,Human Resources,Senior Staff
12341,Rasiah,Luga,Development,Engineer
12341,Rasiah,Luga,Development,Senior Engineer
12343,Sorina,Slaats,Customer Service,Senior Staff
12343,Sorina,Slaats,Production,Senior Staff
12343,Sorina,Slaats,Customer Service,Staff
12343,Sorina,Slaats,Production,Staff
12365,Kamakshi,Bisiani,Production,Engineer
12365,Kamakshi,Bisiani,Production,Senior Engineer
12373,Mooi,Driscoll,Sales,Senior Staff
12395,Sanjit,Felder,Finance,Senior Staff
12399,Mihalis,Luga,Sales,Senior Staff
12399,Mihalis,Luga,Sales,Staff
12411,Shao,Ibel,Sales,Senior Staff
12411,Shao,Ibel,Sales,Staff
12413,Hugh,Gadepally,Production,Engineer
12413,Hugh,Gadepally,Production,Senior Engineer
12415,Uri,Sluis,Sales,Staff
12417,Dannz,Spelt,Production,Senior Engineer
12422,Berhard,Demos,Human Resources,Senior Staff
12422,Berhard,Demos,Human Resources,Staff
12451,Pramod,Marzano,Development,Engineer
12451,Pramod,Marzano,Development,Senior Engineer
12454,Kerryn,Farris,Sales,Staff
12464,Shai,Milicic,Sales,Staff
12475,Filipe,Roison,Development,Engineer
12475,Filipe,Roison,Development,Senior Engineer
12478,Yahiko,Hopewell,Sales,Senior Staff
12478,Yahiko,Hopewell,Marketing,Senior Staff
12478,Yahiko,Hopewell,Sales,Staff
12478,Yahiko,Hopewell,Marketing,Staff
12487,Mona,Reghbati,Human Resources,Senior Staff
12487,Mona,Reghbati,Finance,Senior Staff
12489,Arnould,Munck,Development,Senior Engineer
12490,Jackson,Muchinsky,Development,Engineer
12490,Jackson,Muchinsky,Development,Senior Engineer
12493,Filipp,Menhardt,Development,Senior Engineer
12497,Stein,Penz,Sales,Senior Staff
12497,Stein,Penz,Sales,Staff
12501,Morrie,Matheson,Finance,Senior Staff
12504,Adly,Rosaz,Production,Engineer
12514,Tomofumi,Melter,Development,Engineer
12528,Conor,Cincotta,Customer Service,Senior Staff
12528,Conor,Cincotta,Customer Service,Staff
12534,Yongmao,Gerlach,Production,Senior Engineer
12541,Shih,Nanard,Sales,Senior Staff
12541,Shih,Nanard,Sales,Staff
12542,Kazuhide,Bouloucos,Human Resources,Senior Staff
12542,Kazuhide,Bouloucos,Human Resources,Staff
12551,Jeane,Tzvieli,Production,Engineer
12551,Jeane,Tzvieli,Production,Senior Engineer
12553,Aral,Vesna,Human Resources,Senior Staff
12557,Stafford,Kopetz,Quality Management,Senior Engineer
12557,Stafford,Kopetz,Production,Senior Engineer
